           6053                                           12                          6053              3  330182|2006|4           6053            800             10              2            150
           5129             14                                          363           5129              1  330345|2002|2           5129            800             10             10
          37578                                           10                         37578              5  340045|2004|2          37578            801            103             10            150
           4663                            14             14                          4663              2  340045|2004|3           4663            800             10             10            150
           1192             11                                          385           1192              1  341059|2000|2           1192            800             10             10
           4242                                            5                          4242              4  341059|2006|3           4242            800             10              5            140
           4857             10                                          377           4857              1  340045|2006|3           4857            800             10             10
          37602                                           10                         37602              4  340045|2004|3          37602            801            103             10            140
           1157                                            9                          1157              3  341059|2000|4           1157            800             10             10            150
          41694              2                                                       41694              1  340045|2005|4          41694            801            103             10
           3972                            10             10                          3972              2  330065|2001|4           3972            800             10              5            150
          37388                                            9                         37388              3  340045|2000|2          37388            801            103             10            150
          37642                                           10                         37642              8  340045|2006|4          37642            801            103             10
          41672             12                                                       41672              1  340045|2005|2          41672            801            103             10
          41807             13                                                       41807              1  340045|2006|4          41807            801            103             10
           5006             12                                          337           5006              1  330345|2001|2           5006            800             10             10
           4777                                           10                          4777              3  340045|2006|3           4777            800             10             10            140
          18257                                           12                         18257              6  330182|2002|3          18257            800             10             10            150
          37679                            15             15                         37679              2  340045|2004|4          37679            801            103             10            140
           6144             10                                          392           6144              1  330182|2006|3           6144            800             10             10
          35244              9                                                       35244              1  340045|2003|3          35244            801            103             10
           5319             15                                          356           5319              1  330345|2004|1           5319            800             10              2
           7465                                           13                          7465              5  340045|2004|3           7465            800             10              5            150
          37573              8                                                       37573              1  340045|2001|3          37573            801            103             10
           5755              8                                          350           5755              1  330182|2004|4           5755            800             10              2
          41357                                           12                         41357              4  340045|2001|3          41357            801            103             10            140
           6244                             9              9                          6244              2  330345|2005|4           6244            800             10             10            170
           5222                            11             11                          5222              2  330345|2003|3           5222            800             10              2            140
          18248                                           11                         18248              5  330182|2004|3          18248            800             10              2            150
          37599                                           22                         37599              8  340045|2006|2          37599            801            103             10            140
          37612                                           11                         37612              4  340045|2004|2          37612            801            103             10            150
           5072             11                                          358           5072              1  330345|2002|1           5072            800             10             10
           3263                                           11                          3263              7  330345|2002|1           3263            800             10              2            150
           1254              8                                          343           1254              1  341059|2000|4           1254            800             10              5
          41397                            17             17                         41397              2  340045|2001|2          41397            801            103             10            140
           1235                            11             11                          1235              2  341059|2000|4           1235            800             10             10            150
           5903                            14             14                          5903              2  330182|2005|3           5903            800             10              2            150
          41283                                           12                         41283              5  340540|2006|1          41283            800              2             10
           4716                            12             12                          4716              2  340045|2005|3           4716            800             10             10            220
          37625             14                                                       37625              1  340045|2003|3          37625            801            103             10
            624             10                                          385            624              1  341059|1997|2            624            800             10             10
           1263                                           10                          1263              5  341059|2002|2           1263            800             10              2            150
          37537                             9              9                         37537              2  340045|2003|1          37537            801            103             10            150
          41552             11                                                       41552              1  340045|2003|4          41552            801            103             10
            598             13                                          348            598              1  341059|1997|1            598            800             10             10
           4166             10                                          376           4166              1  341059|2004|2           4166            800             10              5
          37330                                           14                         37330              5  340045|2000|4          37330            801            103             10            140
          37719                                           15                         37719              3  340045|2006|3          37719            801            103             10            140
          37478                                           12                         37478              6  340045|2002|4          37478            801            103             10            150
           5580             12                                          375           5580              1  330002|2006|2           5580            800             10              5
           1004                                           11                          1004              3  341059|1999|3           1004            800             10             10            150
           5755                                            8                          5755              3  330182|2005|3           5755            800             10              2            150
           4807             11                                          378           4807              1  340045|2006|1           4807            800             10             10
          41435                                           13                         41435              5  340045|2003|1          41435            801            103             10            150
          41447              2                                                       41447              1  340045|2001|4          41447            801            103             10
          37320                                           15                         37320              8  340045|2002|3          37320            801            103             10            140
          41395                                           14                         41395              3  340045|2001|4          41395            801            103             10            140
           6183             14                                          379           6183              1  330182|2006|4           6183            800             10              2
          41450                                           14                         41450              3  340045|2002|3          41450            801            103             10
          37689                                           17                         37689              3  340045|2005|2          37689            801            103             10            140
           1435             11                                          373           1435              1  341059|2002|2           1435            800             10              5
          41402             11                                                       41402              1  340045|2001|1          41402            801            103             10
           4845                             9              9                          4845              2  340045|2006|4           4845            800             10             10            140
           3985                                            8                          3985              3  330065|2002|3           3985            800             10              2            150
           1284                            15             15                          1284              2  341059|2001|3           1284            800             10             10            150
           5559                                           12                          5559              3  330002|2006|3           5559            800             10             10            150
           6131                             8              8                          6131              2  330182|2006|3           6131            800             10             10            150
          37478                                           10                         37478              5  340045|2002|3          37478            801            103             10
           1132                                            7                          1132              3  341059|2000|3           1132            800             10              5            130
          37709                                           15                         37709              4  340045|2006|1          37709            801            103             10            150
           4756                            13             13                          4756              2  340045|2005|4           4756            800             10             10            140
           4822              7                                          387           4822              1  340045|2006|2           4822            800             10             10
           1162                                           12                          1162              5  341059|2001|3           1162            800             10              2            150
          37375                                           11                         37375              4  340045|2001|1          37375            801            103             10            150
           4019                            11             11                          4019              2  330065|2002|4           4019            800             10              2            150
          18148                             9              9                         18148              2  330182|2002|4          18148            800             10             10            150
          37524              9                                                       37524              1  340045|2001|3          37524            801            103             10
            567                                           11                           567              3  341059|1997|4            567            800             10             10            150
          37693             14                                                       37693              1  340045|2004|2          37693            801            103             10
           5717                            12             12                          5717              2  330182|2004|4           5717            800             10              2            150
           5072                            15             15                          5072              2  330345|2002|2           5072            800             10              2            150
          41515                                           10                         41515              3  340045|2003|4          41515            801            103             10            150
          18144                            13             13                         18144              2  330182|2003|1          18144            800             10              2            150
           3827                                           11                          3827              3  330345|2001|2           3827            800             10              2
           1078              9                                          353           1078              1  341059|1999|2           1078            800             10             10
           1099             11                                          378           1099              1  341059|1999|3           1099            800             10             10
           7291                            14             14                          7291              2  340002|1996|1           7291            800             10              5            160
           5908              8                                          350           5908              1  330182|2005|3           5908            800             10              2
           5329                                           12                          5329              4  330345|2005|3           5329            800             10             10            170
          35917                             6              6                         35917              2  330182|2001|3          35917            800             10             10
           4207              9                                          359           4207              1  341059|2004|4           4207            800             10              5
           1175             11                                          383           1175              1  341059|2000|1           1175            800             10              5
           6139                            11             11                          6139              2  330182|2006|2           6139            800             10              5            140
          37373             10                                                       37373              1  340045|1999|1          37373            801            103             10
          34620                                            8                         34620              7  330065|2001|2          34620            800             10             10
           5331                                           10                          5331              7  330345|2006|3           5331            800             10              2            150
           3725                                           10                          3725              5  330345|2001|3           3725            800             10              2
          18133                             9              9                         18133              2  330182|2003|1          18133            800             10              2            150
           6171             12                                          393           6171              1  330182|2006|4           6171            800             10              2
           6295                                           15                          6295              3  330345|2006|4           6295            800             10              2            150
           4021             10                                          362           4021              1  330065|2002|3           4021            800             10              5
           1012             12                                          370           1012              1  341059|1998|4           1012            800             10             10
          41338                                           11                         41338              4  340045|2000|4          41338            801            103             10            140
          18097                                           13                         18097              9  330182|2003|3          18097            800             10              5            150
           3945                                            8                          3945              3  330065|2001|4           3945            800             10             10            150
          37494                                           11                         37494              3  340045|2002|3          37494            801            103             10            150
           4310              9                                          363           4310              1  341059|2006|3           4310            800             10              5
           4832                            14             14                          4832              2  340045|2006|4           4832            800             10             10            140
           4336             10                                          359           4336              1  341059|2006|4           4336            800             10              5
            597             13                                          357            597              1  341059|1997|1            597            800             10             10
          41537                                           11                         41537              4  340045|2004|4          41537            801            103             10            140
           5992             14                                          378           5992              1  330182|2005|4           5992            800             10              2
           4800                                           14                          4800              3  340045|2006|4           4800            800             10             10            140
          41347                                            9                         41347              4  340045|2001|1          41347            801            103             10            140
          37617                                           12                         37617              4  340045|2004|3          37617            801            103             10            140
          37693                                           11                         37693              3  340045|2005|1          37693            801            103             10            140
           4635                                           11                          4635              3  340045|2004|3           4635            800             10             10            140
          37551                                            9                         37551              4  340045|2003|3          37551            801            103             10            140
          37315                                           13                         37315              5  340045|2001|1          37315            801            103             10            150
          18151                                           11                         18151              4  330182|2004|1          18151            800             10              2            150
          35923                                           12                         35923              5  330182|2002|4          35923            800             10             10            150
           3795                                           10                          3795              7  330345|2002|4           3795            800             10             10            150
          37696                                           11                         37696              8  340045|2006|4          37696            801            103             10            140
          35936                                           12                         35936              5  330182|2003|3          35936            800             10              5            150
           3977             13                                          383           3977              1  330065|2001|3           3977            800             10            600
           4079                                           12                          4079              6  341059|2005|1           4079            800             10              2            140
           4011                                           14                          4011              3  330065|2003|1           4011            800             10              5            150
          37578                                           15                         37578              6  340045|2004|4          37578            801            103             10            140
           3846                                           11                          3846              4  330345|2002|1           3846            800             10              2            150
           5772              2                                          407           5772              1  330182|2004|4           5772            800             10             10
          41433              6                                                       41433              1  340045|2001|3          41433            801            103             10
          34024                                            6                         34024              6  330182|2004|4          34024            800             10              2            150
          35916                                           13                         35916              4  330182|2002|4          35916            800             10              5            170
          41350                            14             14                         41350              2  340045|2000|3          41350            801            103             10
           1223                                           14                          1223              5  341059|2002|1           1223            800             10              5            170
           3760                                           11                          3760              5  330345|2001|4           3760            800             10              2            150
          37558                                           12                         37558              5  340045|2004|1          37558            801            103             10            140
           4876             12                                          364           4876              1  340045|2006|4           4876            800             10             10
           6384             10                                          357           6384              1  330345|2006|2           6384            800             10             10
           1223             12                                          390           1223              1  341059|2000|2           1223            800             10              5
          41535              6                                                       41535              1  340045|2003|3          41535            801            103             10
           5047             13                                          382           5047              1  330345|2001|4           5047            800             10              2
           4754                                           12                          4754              3  340045|2006|1           4754            800             10             10            140
           4075             12                                          357           4075              1  341059|2002|4           4075            800             10              5
           1204             11                                          432           1204              1  341059|2000|2           1204            800             10              5
          37658                                           12                         37658              5  340045|2004|4          37658            801            103             10            140
          41509                                            9                         41509              3  340045|2003|4          41509            801            103             10            140
           4813             10                                          380           4813              1  340045|2006|2           4813            800             10             10
           4658                                           13                          4658              4  340045|2005|2           4658            800             10              5            160
          18281             12                                          412          18281              1  330182|2003|4          18281            800             10              5
           5796              9                                          355           5796              1  330182|2005|1           5796            800             10              2
           5122                                           10                          5122              6  330345|2004|2           5122            800             10              5            150
