2011 0.09920 0.00919 54
2010 0.09483 0.00646 77
2009 0.09085 0.01244 40
2008 0.08895 0.00950 53
2007 0.07940 -0.02177 
2006 0.08021 -0.03061 
2005 0.09901 -0.03065 
2004 0.10753 -0.00386 
2003 0.12580 0.09279 5
2002 0.11096 0.08425 6
2001 0.03638 0.01917 26
2000 0.02916 0.01453 34
1999 0.01755 0.00206 243
1998 0.01485 0.00072 694
1997 0.01552 -0.00299 
1996 0.01414 0.00377 133
1995 0.01846 -0.01320 
1994 0.01042 0.01042 48
1993 0.03125  
1992 0.00000  
