5|NATURAL|animal|A|ltz||3475.00000|
5|NATURAL|animal|A|ltz|usmd|46.10000
5|NATURAL|animal|A|usmd||10.99000|
5|NATURAL|residual|E|ltz||245.90000|
5|NATURAL|residual|E|ltz|usmd|-2.50600
5|NATURAL|residual|E|usmd||0.02553|
5|Phenotypic|||ltz||4007.00000|
5|Phenotypic|||ltz|usmd|43.59000
5|Phenotypic|||usmd||11.02000|
5|RATIOS|wu|R|ltz||0.07143|
5|RATIOS|animal|A|ltz||0.86720|
5|RATIOS|animal|A|ltz|usmd|0.23580
5|RATIOS|animal|A|usmd||0.99770|
5|RATIOS|residual|E|ltz||0.06138|
5|RATIOS|residual|E|ltz|usmd|-1.00000
5|RATIOS|residual|E|usmd||0.00232|
6|NATURAL|wu|R|ltz||469.30000|
6|NATURAL|animal|A|ltz||3569.00000|
6|NATURAL|animal|A|ltz|rmfl|-32.88000
6|NATURAL|animal|A|rmfl||20.60000|
6|NATURAL|residual|E|ltz||166.00000|
6|NATURAL|residual|E|ltz|rmfl|-15.28000
6|NATURAL|residual|E|rmfl||1.40800|
6|Phenotypic|||ltz||4204.00000|
6|Phenotypic|||ltz|rmfl|-48.16000
6|Phenotypic|||rmfl||22.01000|
6|RATIOS|wu|R|ltz||0.11160|
6|RATIOS|animal|A|ltz||0.84890|
6|RATIOS|animal|A|ltz|rmfl|-0.12130
6|RATIOS|animal|A|rmfl||0.93600|
6|RATIOS|residual|E|ltz||0.03947|
6|RATIOS|residual|E|ltz|rmfl|-1.00000
6|RATIOS|residual|E|rmfl||0.06396|
6|STD_ERR of components|wu|R|ltz||2.94600|
6|STD_ERR of components|animal|A|ltz||1.13000|
6|STD_ERR of components|animal|A|ltz|rmfl|2.44300
6|STD_ERR of components|animal|A|rmfl||0.30820|
6|STD_ERR of components|residual|E|ltz||0.85920|
6|STD_ERR of components|residual|E|ltz|rmfl|2.21800
6|STD_ERR of components|residual|E|rmfl||0.21340|
6|STD_ERR of ratios|wu|R|ltz||0.04207|
6|STD_ERR of ratios|animal|A|ltz||0.04273|
6|STD_ERR of ratios|animal|A|ltz|rmfl|0.04134
6|STD_ERR of ratios|animal|A|rmfl||0.05078|
6|STD_ERR of ratios|residual|E|ltz||0.01406|
6|STD_ERR of ratios|residual|E|ltz|rmfl|0.00385
6|STD_ERR of ratios|residual|E|rmfl||0.05078|
7|NATURAL|wu|R|ltz||480.60000|
7|NATURAL|wu|R|ltz|ptz|211.20000
7|NATURAL|wu|R|ptz||644.70000|
7|NATURAL|animal|A|ltz||3543.00000|
7|NATURAL|animal|A|ltz|ptz|4241.00000
7|NATURAL|animal|A|ptz||6564.00000|
7|NATURAL|residual|E|ltz||191.00000|
7|NATURAL|residual|E|ltz|ptz|130.70000
7|NATURAL|residual|E|ptz||1689.00000|
7|Phenotypic|||ltz||4215.00000|
