28|rmfl|1745|43.79741|5.12380|29.67000|64.72000
28|ptz|2211|913.70285|100.99708|379.00000|1246.00000
28|skmw|2211|71.84383|34.47391|0.00000|112.80000
28|pelm|2211|111.35672|11.88761|0.00000|135.00000
29|ltz|32696|608.02113|67.52627|401.00000|884.00000
29|usf|32688|14.19030|2.96071|4.70000|49.70000
29|lmf|32698|110.12596|14.15059|0.00000|160.00000
30|ltz|32696|608.02113|67.52627|401.00000|884.00000
30|imf|1677|1.82069|0.57537|0.69000|5.00000
30|skmw|33921|4.49657|19.41730|0.00000|112.80000
31|ltz|32696|608.02113|67.52627|401.00000|884.00000
31|fuvz|2156|215.05533|33.57847|37.80000|434.00000
31|pelm|34014|7.13923|27.43865|0.00000|135.00000
32|ltz|32696|608.02113|67.52627|401.00000|884.00000
32|ffl|1746|21.89962|4.50922|10.60000|43.71000
32|skmw|33968|4.61471|19.66257|0.00000|112.80000
33|ltz|32696|608.02113|67.52627|401.00000|884.00000
33|usmd|18916|53.00550|4.22305|40.00000|71.00000
33|lmf|32696|110.12964|14.13780|0.00000|160.00000
34|ltz|32696|608.02113|67.52627|401.00000|884.00000
34|rmfl|1745|43.79741|5.12380|29.67000|64.72000
34|skmw|33967|4.61223|19.65757|0.00000|112.80000
