1|sex|F|2
1|bjq|F|5
1|bg|F|1072
1|wu|R|8
1|animal|A|36408
1|lmf|F|1
1|uss|F|188
1|sex|F|2
1|bjq|F|5
1|bg|F|1072
1|wu|R|8
1|animal|A|36408
1|lmf|F|1
1|uss|F|188
2|sex|F|3
2|bjq|F|5
2|bg|F|1157
2|wu|R|9
2|animal|A|36408
2|skmw|F|1
2|abt|F|3
2|sex|F|3
2|bjq|F|5
2|bg|F|1157
2|wu|R|9
2|animal|A|36408
2|skmw|F|1
2|abt|F|3
3|sex|F|3
3|bjq|F|5
3|bg|F|1161
3|wu|R|9
3|animal|A|36408
3|pelm|F|1
3|abt|F|3
3|sex|F|3
3|bjq|F|5
3|bg|F|1161
3|wu|R|9
3|animal|A|36408
3|pelm|F|1
3|abt|F|3
4|sex|F|3
4|bjq|F|5
4|bg|F|1161
4|wu|R|9
4|animal|A|36408
4|skmw|F|1
4|abt|F|3
4|sex|F|3
4|bjq|F|5
4|bg|F|1161
4|wu|R|9
4|animal|A|36408
4|skmw|F|1
4|abt|F|3
5|sex|F|2
5|bjq|F|5
5|bg|F|1072
5|wu|R|8
5|animal|A|36408
5|lmf|F|1
5|uss|F|188
5|sex|F|2
5|bjq|F|5
5|bg|F|1072
5|wu|R|8
5|animal|A|36408
5|lmf|F|1
5|uss|F|188
6|sex|F|3
6|bjq|F|5
6|bg|F|1160
6|wu|R|9
6|animal|A|36408
6|skmw|F|1
6|abt|F|3
6|sex|F|3
6|bjq|F|5
6|bg|F|1160
6|wu|R|9
6|animal|A|36408
6|skmw|F|1
6|abt|F|3
7|sex|F|3
7|bjq|F|5
7|bg|F|1163
7|wu|R|9
7|animal|A|36408
7|pelm|F|1
7|abt|F|3
7|sex|F|3
7|bjq|F|5
7|bg|F|1163
7|wu|R|9
7|animal|A|36408
7|pelm|F|1
7|abt|F|3
8|lmf|F|1
8|sex|F|3
8|bjq|F|5
8|bg|F|1157
8|uss|F|285
8|animal|A|36408
8|skmw|F|1
8|abt|F|3
8|lmf|F|1
8|sex|F|3
8|bjq|F|5
8|bg|F|1157
8|uss|F|285
8|animal|A|36408
8|skmw|F|1
8|abt|F|3
9|lmf|F|1
9|sex|F|3
9|bjq|F|5
9|bg|F|1161
9|uss|F|293
9|animal|A|36408
9|pelm|F|1
9|abt|F|3
9|lmf|F|1
9|sex|F|3
9|bjq|F|5
9|bg|F|1161
9|uss|F|293
9|animal|A|36408
9|pelm|F|1
9|abt|F|3
10|lmf|F|1
10|sex|F|3
10|bjq|F|5
10|bg|F|1161
10|uss|F|287
10|animal|A|36408
10|skmw|F|1
10|abt|F|3
10|lmf|F|1
10|sex|F|3
10|bjq|F|5
10|bg|F|1161
10|uss|F|287
10|animal|A|36408
10|skmw|F|1
10|abt|F|3
11|lmf|F|1
11|sex|F|2
11|bjq|F|5
11|bg|F|1072
11|uss|F|188
